"Year","Month","Variable","Site","Tower"
2014,"Dec","ET","wbsec",13.84
2014,"Nov","ET","wbsec",15.27
2014,"Oct","ET","wbsec",21.64
2015,"Apr","ET","wbsec",43.88
2015,"Aug","ET","wbsec",19.71
2015,"Dec","ET","wbsec",12.67
2015,"Feb","ET","wbsec",21.36
2015,"Jan","ET","wbsec",10.87
2015,"Jul","ET","wbsec",39.16
2015,"Jun","ET","wbsec",39.2
2015,"Mar","ET","wbsec",28.73
2015,"May","ET","wbsec",53.69
2015,"Nov","ET","wbsec",14.43
2015,"Oct","ET","wbsec",16.77
2015,"Sep","ET","wbsec",15.66
2016,"Apr","ET","wbsec",46.79
2016,"Aug","ET","wbsec",6.08
2016,"Feb","ET","wbsec",19.52
2016,"Jan","ET","wbsec",12.75
2016,"Jul","ET","wbsec",10.86
2016,"Jun","ET","wbsec",22.79
2016,"Mar","ET","wbsec",44.67
2016,"May","ET","wbsec",48.96
2016,"Sep","ET","wbsec",7.99
2014,"Dec","ET","losec",12.67
2014,"Nov","ET","losec",15.59
2014,"Oct","ET","losec",25.82
2015,"Apr","ET","losec",47
2015,"Aug","ET","losec",29.69
2015,"Dec","ET","losec",19
2015,"Feb","ET","losec",16.07
2015,"Jan","ET","losec",12.33
2015,"Jul","ET","losec",58.28
2015,"Jun","ET","losec",75.75
2015,"Mar","ET","losec",33.53
2015,"May","ET","losec",82.78
2015,"Nov","ET","losec",17.15
2015,"Oct","ET","losec",19.44
2015,"Sep","ET","losec",19.92
2016,"Apr","ET","losec",56.63
2016,"Aug","ET","losec",14.26
2016,"Feb","ET","losec",23.64
2016,"Jan","ET","losec",16.06
2016,"Jul","ET","losec",23.58
2016,"Jun","ET","losec",51.28
2016,"Mar","ET","losec",49.92
2016,"May","ET","losec",78.57
2016,"Sep","ET","losec",13.08
2014,"Dec","ET","h08ec",11.62
2014,"Nov","ET","h08ec",12.02
2014,"Oct","ET","h08ec",23.29
2015,"Apr","ET","h08ec",33.27
2015,"Aug","ET","h08ec",55.01
2015,"Dec","ET","h08ec",4.93
2015,"Feb","ET","h08ec",12.47
2015,"Jan","ET","h08ec",9.95
2015,"Jul","ET","h08ec",102.14
2015,"Jun","ET","h08ec",129.77
2015,"Mar","ET","h08ec",22.96
2015,"May","ET","h08ec",51.34
2015,"Nov","ET","h08ec",16.6
2015,"Oct","ET","h08ec",16.91
2015,"Sep","ET","h08ec",26.57
2016,"Apr","ET","h08ec",36.22
2016,"Aug","ET","h08ec",53.21
2016,"Feb","ET","h08ec",10.96
2016,"Jan","ET","h08ec",6.1
2016,"Jul","ET","h08ec",100.24
2016,"Jun","ET","h08ec",114.52
2016,"Mar","ET","h08ec",26.71
2016,"May","ET","h08ec",74.92
2016,"Sep","ET","h08ec",20.68
2014,"Dec","ET","mbsec",5.82
2014,"Nov","ET","mbsec",13.69
2014,"Oct","ET","mbsec",29.71
2015,"Apr","ET","mbsec",32.49
2015,"Aug","ET","mbsec",52.5
2015,"Dec","ET","mbsec",8.43
2015,"Feb","ET","mbsec",14.11
2015,"Jan","ET","mbsec",7
2015,"Jul","ET","mbsec",107.81
2015,"Jun","ET","mbsec",141.47
2015,"Mar","ET","mbsec",24.64
2015,"May","ET","mbsec",62.39
2015,"Nov","ET","mbsec",15.46
2015,"Oct","ET","mbsec",23.39
2015,"Sep","ET","mbsec",28.42
2016,"Apr","ET","mbsec",16.52
2016,"Aug","ET","mbsec",50.34
2016,"Feb","ET","mbsec",8.48
2016,"Jan","ET","mbsec",3.71
2016,"Jul","ET","mbsec",111.69
2016,"Jun","ET","mbsec",114.73
2016,"Mar","ET","mbsec",10.47
2016,"May","ET","mbsec",67.61
2016,"Sep","ET","mbsec",26.13
2014,"Dec","GPP","wbsec",0.020109154423
2014,"Nov","GPP","wbsec",0.011451378988
2014,"Oct","GPP","wbsec",0.016775291868
2015,"Apr","GPP","wbsec",0.062152765576
2015,"Aug","GPP","wbsec",0.019584833826
2015,"Dec","GPP","wbsec",0.013768918367
2015,"Feb","GPP","wbsec",0.019208744958
2015,"Jan","GPP","wbsec",0.022709857132
2015,"Jul","GPP","wbsec",0.012339440834
2015,"Jun","GPP","wbsec",0.026856312237
2015,"Mar","GPP","wbsec",0.036140215406
2015,"May","GPP","wbsec",0.058067902451
2015,"Nov","GPP","wbsec",0.015252347136
2015,"Oct","GPP","wbsec",0.007747672879
2015,"Sep","GPP","wbsec",0.012974810036
2016,"Apr","GPP","wbsec",0.079798194445
2016,"Aug","GPP","wbsec",0.019130708851
2016,"Feb","GPP","wbsec",0.020068747476
2016,"Jan","GPP","wbsec",0.013087660923
2016,"Jul","GPP","wbsec",0.029316410461
2016,"Jun","GPP","wbsec",0.045282782906
2016,"Mar","GPP","wbsec",0.048217455942
2016,"May","GPP","wbsec",0.076486280773
2016,"Sep","GPP","wbsec",0.013355024021
2014,"Nov","GPP","losec",0.018439347447
2014,"Oct","GPP","losec",0.024057996401
2015,"Apr","GPP","losec",0.092625763563
2015,"Aug","GPP","losec",0.051134808957
2015,"Dec","GPP","losec",0.004532709248
2015,"Jul","GPP","losec",0.055427744959
2015,"Jun","GPP","losec",0.099655963484
2015,"Mar","GPP","losec",0.068454830021
2015,"May","GPP","losec",0.141342257746
2015,"Nov","GPP","losec",0.013742514063
2015,"Oct","GPP","losec",0.014581132526
2015,"Sep","GPP","losec",0.024866133324
2016,"Apr","GPP","losec",0.096658667071
2016,"Aug","GPP","losec",0.023718770076
2016,"Feb","GPP","losec",0.025051999565
2016,"Jan","GPP","losec",0.0051338697
2016,"Jul","GPP","losec",0.042032154916
2016,"Jun","GPP","losec",0.094821514549
2016,"Mar","GPP","losec",0.042737908501
2016,"May","GPP","losec",0.138187217939
2016,"Sep","GPP","losec",0.016429072421
2014,"Dec","GPP","h08ec",0.007546251685
2014,"Nov","GPP","h08ec",0.011847746092
2014,"Oct","GPP","h08ec",0.016038954339
2015,"Apr","GPP","h08ec",0.038329823917
2015,"Aug","GPP","h08ec",0.080905253649
2015,"Dec","GPP","h08ec",0.003525613839
2015,"Feb","GPP","h08ec",0.012367472812
2015,"Jan","GPP","h08ec",0.008423268215
2015,"Jul","GPP","h08ec",0.162237897579
2015,"Jun","GPP","h08ec",0.244374641501
2015,"Mar","GPP","h08ec",0.021435724804
2015,"May","GPP","h08ec",0.12911917109
2015,"Nov","GPP","h08ec",0.009667087785
2015,"Oct","GPP","h08ec",0.019167496211
2015,"Sep","GPP","h08ec",0.03469720919
2016,"Apr","GPP","h08ec",0.021096329655
2016,"Aug","GPP","h08ec",0.073272752725
2016,"Feb","GPP","h08ec",0.006748480545
2016,"Jan","GPP","h08ec",0.002725491649
2016,"Jul","GPP","h08ec",0.141895196344
2016,"Jun","GPP","h08ec",0.214437823109
2016,"Mar","GPP","h08ec",0.004767046527
2016,"May","GPP","h08ec",0.141943844912
2016,"Sep","GPP","h08ec",0.019088887191
2014,"Dec","GPP","mbsec",0.006845172883
2014,"Nov","GPP","mbsec",0.01135482653
2014,"Oct","GPP","mbsec",0.02478332879
2015,"Apr","GPP","mbsec",0.044875326346
2015,"Aug","GPP","mbsec",0.120347229529
2015,"Dec","GPP","mbsec",0.005085502245
2015,"Feb","GPP","mbsec",0.008501075282
2015,"Jan","GPP","mbsec",0.006300851918
2015,"Jul","GPP","mbsec",0.194891408247
2015,"Jun","GPP","mbsec",0.235470813684
2015,"Mar","GPP","mbsec",0.016748770568
2015,"May","GPP","mbsec",0.133374928681
2015,"Nov","GPP","mbsec",0.006446499336
2015,"Oct","GPP","mbsec",0.034398477521
2015,"Sep","GPP","mbsec",0.056497938957
2016,"Apr","GPP","mbsec",0.016620452644
2016,"Aug","GPP","mbsec",0.110014324971
2016,"Feb","GPP","mbsec",0.002474892628
2016,"Jan","GPP","mbsec",0.00191396332
2016,"Jul","GPP","mbsec",0.210171960083
2016,"Jun","GPP","mbsec",0.229797805593
2016,"Mar","GPP","mbsec",0.004175355352
2016,"May","GPP","mbsec",0.104224660609
2016,"Sep","GPP","mbsec",0.042374439921
2014,"Dec","NEE","wbsec",-0.007690831241
2014,"Nov","NEE","wbsec",0.002769529686
